"codigo","descripcion","um"
"LA2202115","BULON P/MADERA 5/16x18x8""","UN"
"LA2204110","BULON P/MADERA 1/2x12x5.1/2""","UN"
"LA22130","PORTACANDADO ""LOTH"" ZINC. 3,0""","UN"
"LA2303109","B.ACERO G.5 NC 3/8X16X4 1/2","UN"
"LA2306107","B.ACERO G.5 NC 5/8X11X4","UN"
"LA2309116","B.ACERO G.5 NC 1X8X7","UN"
"LAH3865","SOPORTE P/VIDRIO 38X65MM","UN"
"LAHN5075-3#/PB","NUMERO PARA CASA 3""-#3 PB","UN"
"LA2332914","B.ACERO G.5 NF 3/8x24x2.1/2""","UN"
"LA2336912","B.ACERO G.5 NF 5/8X18X3","UN"
"LA2391","PLANTERA EURORED CAF JVER42F","UN"
"LA2403-0310","CORREA P/HORMIGONERA 400LTS. CID","UN"
"LA2407108","ARAND.PESADA GL.5/16X 2.13MM","UN"
"LA24121/2X2","BUJE REDUCCION TUPY 2 1/2x2","UN"
"LA2505116","PERNO C.RED.ZINC.1/8X1 1/4-40H","UN"
"LA2507186","PERNO C.FRESA.ZC.5/16X2""-18H","UN"
"LA2520117","PERNO ANCLAJE ANILLO 5/8x4""-CHINO","UN"
"LA25621","PASADOR""LOTH""C/PORTACAN.SEN.2""","UN"
"LA2605405","TIRAFONDO CHINO 3/8 x 3","UN"
"LA2692108","TORNILLO CHAPA C/RED.1/2X8","UN"
"LAHN5075-9#/PB","NUMERO PARA CASA 3""-#9 PB","UN"
"LAHN5100-5#/PB","NUMERO PARA CASA 4""-#5 PB","UN"
"LAMC1550","SOPORTE P/ESPEJO 15X50MM CROMO-CHINO","UN"
"LA2702","UNION SENCILLA TUPY 2""","UN"
"LA2714103","TORNILLO MAD. ROBERTSON 4,5x40","UN"
"LA2721111","BULON P/MAQUINA 5/16X18X5","UN"
"LA2725115","BULON P/MAQUINA 1/2X13X7","UN"
"LA2729","PLANTERA MOD CONICA CEM JVOM53S","UN"
"LA2799106","B.MAQ.ZINC.S/TUER.1/4X20X1.1/4","UN"
"LA2800142","TORN.MAD.FIXER CISER 4.0X20","UN"
"LA2800460","TORNILLO P/MADERA FIX 4,5x16","UN"
"LA2801404","TORNILLO P/MADERA FIX 6x40","UN"
"LA2816106","TUERCA CIEGA MA 6MM","UN"
"LA2823106","TUERCA G.5 NC BICRO.3/8X16","UN"
"LA2895106","TUERCA AUTOFRENO NC 3/8X16","UN"
"LASS50/BP","SOPORTE METALICO BRONCE MACHO","UN"
"LA7010011","CLAVO BRASIL C/C.(20x45) 4x7","KG"
"LA7841533005727","CAJA TABLERO 24 MOD. C/BORNERA EK","UN"
"LA2900119","VARILLA ROSC.PULIDA NC 2X4,5","UN"
"LA2910199","BULON P/TERM.BAT.5/16X18X1 1/4","UN"
"LA2914126","ESPIGA CON ROSCA 5/16x500MM","UN"
"LA2918118","BULON ALLEN 10x100MM-1,50","UN"
"LA2931112","BULON ALLEN NC 5/16X18X2","UN"
"LA2935478","ALLEN SIN CABEZA NC 1/2X1 1/2","UN"
"LA2A5","POLEA ALUMINIO 2A 5""=130mm","UN"
"LA30121/2","TAPON HEMBRA TUPY 2 1/2","UN"
"LA312X3X2.5MMCP","BISAGRA OPTIMA CROMADO 3 1/2""","PAR"
"LA314","REMACHE POP 3,2X14-1/8X9/16""","UN"
"LA33011/2","UNION DOBLE PLANA TUPY 1.1/2""","UN"
"LA3430613","CINTA AISL.MILLION ROJO 10M","UN"
"LA3506902","CAJA CONEXION METAL 3X3 HEX.-NAC.","UN"
"LA7004402FLEJE","FLEJADO ""U"" 100X38X1,80MM","KG"
"LA23003","COLATEX COLA VINILICA CARPINTERIA x 500","UN"
"LAAM37017/11024","MATERIAL BLOQUEADO","UN"
"LA3X3X2.5MM/BP","BISAGRA OPTIMA BRONCE 3""","PAR"
"LA40440/005","MARTILLO PENA TRAM. PRO 300G","UN"
"LA41053/110","TENAZA ARMADOR TRAMONTINA 10","UN"
"LA422","REMACHE POP 4X22-5/32X7/8""","UN"
"LA43141/001","MECHA TRAM.HSS 1mm-L-34mm","UN"
"LA43141/047","MECHA TRAM.HSS 11mm-L-142mm","UN"
"LA43141/059","MECHA TRAM.HSS 21mm-L-210mm","UN"
"LA43142/008","MECHA TRAM.CONCRETO 8mm-L-120mm","UN"
"LA43144/101","MECHA TRAM.PLANA 1/4""x6""","UN"
"LA43148/107","MECHA TRAM.SDS-PLUS 6mm-L-210mm","UN"
"LA43148/114","MECHA TRAM.SDS-PLUS 8mm-L-160mm","UN"
"LA43148/116","MECHA TRAM.SDS-PLUS 8mm-L-260mm","UN"
"LA4552","GRIFO ELECT.CORONA 4T 220V 5500W","UN"
"LAE901450","LONA P/ ENSILAJE 90 MIC 14X50 NG/BL","UN"
"LA4040RFA","SOPORTE P/AA REF.ANG.1"" 40X40CM","PAR"
"LA43141/046","MECHA TRAM.HSS 10,5mm-L-133mm","UN"
"LA43144/102","MECHA TRAM.PLANA 5/16""x6""","UN"
"LA43144/103","MECHA TRAM.PLANA 3/8""x6""","UN"
"LA43144/104","MECHA TRAM.PLANA 7/16""x6""","UN"
"LA43144/105","MECHA TRAM.PLANA 1/2""x6""","UN"
"LA43144/106","MECHA TRAM.PLANA 9/16""x6""","UN"
"LA43144/107","MECHA TRAM.PLANA 5/8""x6""","UN"
"LA43144/109","MECHA TRAM.PLANA 3/4""x6""","UN"
"LA43144/110","MECHA TRAM.PLANA 7/8""x6""","UN"
"LA43144/111","MECHA TRAM.PLANA 1""x6""","UN"
"LA43144/113","MECHA TRAM.PLANA 1-1/4""x6""","UN"
"LA43144/114","MECHA TRAM.PLANA 1-1/2""x6""","UN"
"LABOLECOL01MKT","BOLSA ECOLOGICA FIN DE AÃ‘O AZUL","UN"
"LATERTUPE01MKT","TERMO INOX 1,3 TUPER","UN"
"LA11468","MATERIAL BLOQUEADO","UN"
"LA61334","MATERIAL BLOQUEADO","UN"
"LA40440/006","MARTILLO PENA TRAM. PRO 400G","UN"
"LA40440/007","MARTILLO PENA TRAM. PRO 500G","UN"
"LA40440/008","MARTILLO PENA TRAM. PRO 600G","UN"
"LA40440/009","MARTILLO PENA TRAM. PRO 800G","UN"
"LA40440/010","MARTILLO PENA TRAM. PRO 1000G","UN"
"LA40440/011","MARTILLO PENA TRAM. PRO 1500G","UN"
"LA40440/012","MARTILLO PENA TRAM. PRO 2000G","UN"
"LA40471/000","MARTILLO CHAPA -BASE PLANA-TRAM PRO","UN"
"LA40472/000","MART.CHAPA TRAM PRO-PENA CRUZ.","UN"
"LA40473/000","MART.CHAPA TRAM PRO-PENA CORTA","UN"
"LA40474/000","MART.CHAPA TRAM PRO-PENA RECTA","UN"
"LA405.007","CUCHARA ALBANIL FAMASTIL 405-7","UN"
"LA7009903FLEJE","FLEJADO ""U"" 100x40x1,4MM","KG"
"LA0926126","ANZUELO MUSTAD 2330-8-DT","UN"
"LA41053/112","TENAZA ARMADOR TRAMONTINA 12","UN"
"LA41053/113","TENAZA ARMADOR TRAMONTINA 13","UN"
